"Student_ID","BK_TermCode","CourseID","BK_GradeCode","EarnedUnits","AttemptedUnits","GradePoints","IsExcludedFromCumulatives","Past_Academic_Renewal_Flag","Past_Course_Repetition_Flag","Qualify_TermCode","rev_Cum_AttemptedUnits","rev_Cum_EarnedUnits","rev_Cum_GradePoints","rev_Cum_GPA","Academic_Renewal_Qualify_Flag_Initial","Past_Academic_Renewal_Units","Future_Academic_Renewal_Limit","Academic_Renewal_Qualify_Units_CumSum","Academic_Renewal_Qualify_Flag"
20,20212,"COUN 10","A",3,3,12,0,0,0,,,,,,0,0,30,0,0
20,20212,"KNES 5","A",0.5,0.5,2,0,0,0,,,,,,0,0,30,0,0
20,20212,"KNES 77","A",0.5,0.5,2,0,0,0,,,,,,0,0,30,0,0
20,20213,"ECON 2","C",3,3,6,0,0,0,,,,,,0,0,30,0,0
20,20213,"ENV 1","W",0,3,0,0,0,0,,,,,,0,0,30,0,0
20,20213,"IA 1","A",3,3,12,0,0,0,,,,,,0,0,30,0,0
20,20213,"MGT 1","W",0,3,0,0,0,0,,,,,,0,0,30,0,0
38,20211,"ENTR 200","C",1,1,2,0,0,0,,,,,,0,0,30,0,0
38,20211,"ENTR 211","D",2,2,2,0,0,0,,,,,,0,0,30,0,0
38,20211,"ENTR 212","F",0,1,0,0,0,0,,,,,,0,0,30,0,0
38,20212,"MATH 124","B",4,4,12,0,0,0,,,,,,0,0,30,0,0
38,20213,"CS 36","D",3,3,3,0,0,0,,,,,,0,0,30,0,0
38,20213,"ECON 1 H","C",3,3,6,0,0,0,,,,,,0,0,30,0,0
38,20213,"MATH 2","B",5,5,15,0,0,0,,,,,,0,0,30,0,0
38,20213,"WR 1 H","B",4,4,12,0,0,0,,,,,,0,0,30,0,0
46,20211,"MATH 2","D",5,5,5,0,0,0,,,,,,0,0,30,0,0
46,20211,"PS 1 H","B",3,3,9,0,0,0,,,,,,0,0,30,0,0
46,20212,"NUT 1","P",3,3,0,0,0,0,,,,,,0,0,30,0,0
46,20212,"WR 1 H","C",4,4,8,0,0,0,,,,,,0,0,30,0,0
46,20213,"BIO 1","C",3,3,6,0,0,0,,,,,,0,0,30,0,0
46,20213,"JA 1 H","A",5,5,20,0,0,0,,,,,,0,0,30,0,0
52,20211,"BIO 1","B",3,3,9,0,0,0,20213,17,14,48,2.82352941176471,0,0,30,3,0
52,20211,"MUS 1","D",3,3,3,0,0,0,20213,17,14,48,2.82352941176471,1,0,30,3,1
52,20211,"SPAN 1","B",5,5,15,0,0,0,20213,17,14,48,2.82352941176471,0,0,30,3,0
52,20212,"ECON 1","W",0,3,0,0,0,0,20213,17,14,48,2.82352941176471,0,0,30,3,0
52,20212,"MATH 11","W",0,4,0,0,0,0,20213,17,14,48,2.82352941176471,0,0,30,3,0
52,20212,"MGT 1","C",3,3,6,0,0,0,20213,17,14,48,2.82352941176471,0,0,30,3,0
52,20213,"ACCT 1 A","B",4,4,12,0,0,0,20213,17,14,48,2.82352941176471,0,0,30,3,0
52,20213,"COMM 1","A",3,3,12,0,0,0,20213,17,14,48,2.82352941176471,0,0,30,3,0
52,20213,"ECON 2","W",0,3,0,0,0,0,20213,17,14,48,2.82352941176471,0,0,30,3,0
52,20213,"MATH 11","B",4,4,12,0,0,0,20213,17,14,48,2.82352941176471,0,0,30,3,0
52,20221,"CS 1","A",3,3,12,0,0,0,20213,17,14,48,2.82352941176471,0,0,30,3,0
